V - VIBRACION,TAG
0.027859238,normal
0.034701857,normal
0.034213099,normal
0.021994135,normal
0.021016618,normal
0.025904203,normal
0.025904203,normal
0.019550342,normal
0.019061584,normal
0.029325513,normal
0.029325513,normal
0.022482893,normal
0.024437928,normal
0.024437928,normal
0.034213099,normal
0.029325513,normal
0.029325513,normal
0.029325513,normal
0.03372434,normal
0.019550342,normal
0.028836755,normal
0.028836755,normal
0.02688172,normal
0.030791789,normal
0.021016618,normal
0.023949169,normal
0.03030303,normal
0.034213099,normal
0.029814272,normal
0.026392962,normal
0.021016618,normal
0.021016618,normal
0.024926686,normal
0.021016618,normal
0.028836755,normal
0.025904203,normal
0.019550342,normal
0.019061584,normal
0.019061584,normal
0.019061584,normal
0.016129032,normal
0.016617791,normal
0.020527859,normal
0.020527859,normal
0.013196481,normal
0.013196481,normal
0.038611926,normal
0.039100684,normal
0.044477028,normal
0.044477028,normal
0.064516129,normal
0.073802542,normal
0.065982405,normal
0.068914956,normal
0.068426197,normal
0.068426197,normal
0.043010753,normal
0.039100684,normal
0.03372434,normal
0.03372434,normal
0.012707722,normal
0.026392962,normal
0.026392962,normal
0.03030303,normal
0.03030303,normal
0.032746823,normal
0.038611926,normal
0.038611926,normal
0.039100684,normal
0.042521994,normal
0.045943304,normal
0.022482893,normal
0.024437928,normal
0.017595308,normal
0.021016618,normal
0.022971652,normal
0.017106549,normal
0.017106549,normal
0.016617791,normal
0.013196481,normal
0.009775171,normal
0.009775171,normal
0.009286413,normal
0.013196481,normal
0.009775171,normal
0.012707722,normal
0.015640274,normal
0.02688172,normal
0.032746823,normal
0.03714565,normal
0.03714565,normal
0.03714565,normal
0.035679374,normal
0.031769306,normal
0.031769306,normal
0.024437928,normal
0.044477028,normal
0.033235582,normal
0.028347996,normal
0.025415445,normal
0.028836755,normal
0.028836755,normal
0.028836755,normal
0.031280547,normal
0.034701857,normal
0.036168133,normal
0.013196481,normal
0.049853372,normal
0.048875855,normal
0.04740958,normal
0.04398827,normal
0.04398827,normal
0.065004888,normal
0.062561095,normal
0.059139785,normal
0.063538612,normal
0.067937439,normal
0.031280547,normal
0.031280547,normal
0.031280547,normal
0.042521994,normal
0.043499511,normal
0.028836755,normal
0.028836755,normal
0.04056696,normal
0.034701857,normal
0.03030303,normal
0.057184751,normal
0.060117302,normal
0.060117302,normal
0.054740958,normal
0.054740958,normal
0.052297165,normal
0.053274682,normal
0.041544477,normal
0.042521994,normal
0.042521994,normal
0.015640274,normal
0.016617791,normal
0.016617791,normal
0.015640274,normal
0.014662757,normal
0.013196481,normal
0.016617791,normal
0.016617791,normal
0.020527859,normal
0.021994135,normal
0.037634409,normal
0.03372434,normal
0.037634409,normal
0.032746823,normal
0.036168133,normal
0.03372434,normal
0.029325513,normal
0.049853372,normal
0.044965787,normal
0.043499511,normal
0.046920821,normal
0.046920821,normal
0.058651026,normal
0.064516129,normal
0.068914956,normal
0.068914956,normal
0.068914956,normal
0.048387097,normal
0.073313783,normal
0.073313783,normal
0.058162268,normal
0.058162268,normal
0.043499511,normal
